Postcode;City;State;Region;
2940;Stabroek;Antwerpen;Vlaanderen;
2950;Kapellen;Antwerpen;Vlaanderen;
2960;Brecht;Antwerpen;Vlaanderen;
2960;Sint-Job-In-'t-Goor;Antwerpen;Vlaanderen;
2960;Sint-Lenaarts;Antwerpen;Vlaanderen;
2970;'s Gravenwezel;Antwerpen;Vlaanderen;
2970;Schilde;Antwerpen;Vlaanderen;
2980;Halle;Antwerpen;Vlaanderen;
2980;Zoersel;Antwerpen;Vlaanderen;
2990;Loenhout;Antwerpen;Vlaanderen;
2990;Wuustwezel;Antwerpen;Vlaanderen;
3000;Leuven;Vlaams-Brabant;Vlaanderen;
3001;Heverlee;Vlaams-Brabant;Vlaanderen;
3010;Kessel Lo;Vlaams-Brabant;Vlaanderen;
3012;Wilsele;Vlaams-Brabant;Vlaanderen;
3018;Wijgmaal;Vlaams-Brabant;Vlaanderen;
3020;Herent;Vlaams-Brabant;Vlaanderen;
3020;Veltem-Beisem;Vlaams-Brabant;Vlaanderen;
3020;Winksele;Vlaams-Brabant;Vlaanderen;
3040;Huldenberg;Vlaams-Brabant;Vlaanderen;
3040;Loonbeek;Vlaams-Brabant;Vlaanderen;
3040;Neerijse;Vlaams-Brabant;Vlaanderen;
3040;Ottenburg;Vlaams-Brabant;Vlaanderen;
3040;Sint-Agatha-Rode;Vlaams-Brabant;Vlaanderen;
3050;Oud-Heverlee;Vlaams-Brabant;Vlaanderen;
3051;Sint-Joris-Weert;Vlaams-Brabant;Vlaanderen;
3052;Blanden;Vlaams-Brabant;Vlaanderen;
3053;Haasrode;Vlaams-Brabant;Vlaanderen;
3054;Vaalbeek;Vlaams-Brabant;Vlaanderen;
3060;Bertem;Vlaams-Brabant;Vlaanderen;
3060;Korbeek-Dijle;Vlaams-Brabant;Vlaanderen;
3061;Leefdaal;Vlaams-Brabant;Vlaanderen;
3070;Kortenberg;Vlaams-Brabant;Vlaanderen;
3071;Erps-Kwerps;Vlaams-Brabant;Vlaanderen;
3078;Everberg;Vlaams-Brabant;Vlaanderen;
3078;Meerbeek;Vlaams-Brabant;Vlaanderen;
3080;Duisburg;Vlaams-Brabant;Vlaanderen;
3080;Tervuren;Vlaams-Brabant;Vlaanderen;
3080;Vossem;Vlaams-Brabant;Vlaanderen;
3090;Overijse;Vlaams-Brabant;Vlaanderen;
3110;Rotselaar;Vlaams-Brabant;Vlaanderen;
3111;Wezemaal;Vlaams-Brabant;Vlaanderen;
3118;Werchter;Vlaams-Brabant;Vlaanderen;
3120;Tremelo;Vlaams-Brabant;Vlaanderen;
3128;Baal;Vlaams-Brabant;Vlaanderen;
3130;Begijnendijk;Vlaams-Brabant;Vlaanderen;
3130;Betekom;Vlaams-Brabant;Vlaanderen;
3140;Keerbergen;Vlaams-Brabant;Vlaanderen;
3150;Haacht;Vlaams-Brabant;Vlaanderen;
3150;Tildonk;Vlaams-Brabant;Vlaanderen;
3150;Wespelaar;Vlaams-Brabant;Vlaanderen;
3190;Boortmeerbeek;Vlaams-Brabant;Vlaanderen;
3191;Hever;Vlaams-Brabant;Vlaanderen;
3200;Aarschot;Vlaams-Brabant;Vlaanderen;
3200;Gelrode;Vlaams-Brabant;Vlaanderen;
3201;Langdorp;Vlaams-Brabant;Vlaanderen;
3202;Rillaar;Vlaams-Brabant;Vlaanderen;
3210;Linden;Vlaams-Brabant;Vlaanderen;
3210;Lubbeek;Vlaams-Brabant;Vlaanderen;
3211;Binkom;Vlaams-Brabant;Vlaanderen;
3212;Pellenberg;Vlaams-Brabant;Vlaanderen;
3220;Holsbeek;Vlaams-Brabant;Vlaanderen;
3220;Kortrijk-Dutsel;Vlaams-Brabant;Vlaanderen;
3220;Sint-Pieters-Rode;Vlaams-Brabant;Vlaanderen;
3221;Nieuwrode;Vlaams-Brabant;Vlaanderen;
3270;Scherpenheuvel;Vlaams-Brabant;Vlaanderen;
3270;Scherpenheuvel-Zichem;Vlaams-Brabant;Vlaanderen;
3271;Averbode;Vlaams-Brabant;Vlaanderen;
3271;Zichem;Vlaams-Brabant;Vlaanderen;
3272;Messelbroek;Vlaams-Brabant;Vlaanderen;
3272;Testelt;Vlaams-Brabant;Vlaanderen;
3290;Deurne;Vlaams-Brabant;Vlaanderen;
3290;Diest;Vlaams-Brabant;Vlaanderen;
3290;Schaffen;Vlaams-Brabant;Vlaanderen;
3290;Webbekom;Vlaams-Brabant;Vlaanderen;
3293;Kaggevinne;Vlaams-Brabant;Vlaanderen;
3294;Molenstede;Vlaams-Brabant;Vlaanderen;
3300;Bost;Vlaams-Brabant;Vlaanderen;
3300;Goetsenhoven;Vlaams-Brabant;Vlaanderen;
3300;Hakendover;Vlaams-Brabant;Vlaanderen;
3300;Kumtich;Vlaams-Brabant;Vlaanderen;
3300;Oorbeek;Vlaams-Brabant;Vlaanderen;
3300;Oplinter;Vlaams-Brabant;Vlaanderen;
3300;Sint-Margriete-Houtem;Vlaams-Brabant;Vlaanderen;
3300;Tienen;Vlaams-Brabant;Vlaanderen;
3300;Vissenaken;Vlaams-Brabant;Vlaanderen;
3320;Hoegaarden;Vlaams-Brabant;Vlaanderen;
3320;Meldert;Vlaams-Brabant;Vlaanderen;
3321;Outgaarden;Vlaams-Brabant;Vlaanderen;
3350;Drieslinter;Vlaams-Brabant;Vlaanderen;
3350;Linter;Vlaams-Brabant;Vlaanderen;
3350;Melkwezer;Vlaams-Brabant;Vlaanderen;
3350;Neerhespen;Vlaams-Brabant;Vlaanderen;
3350;Neerlinter;Vlaams-Brabant;Vlaanderen;
3350;Orsmaal-Gussenhoven;Vlaams-Brabant;Vlaanderen;
3350;Overhespen;Vlaams-Brabant;Vlaanderen;
3350;Wommersom;Vlaams-Brabant;Vlaanderen;
3360;Bierbeek;Vlaams-Brabant;Vlaanderen;
